ingredient_name,time_stamp,product_title,price,unit,measure,unit_price,badage_rocket,url,image
* 올리고당,2024-08-01 20:05:51,"청정원 요리올리고당, 3.6kg, 3개",66080,100,g,612,,https://www.coupang.com/vp/products/96553?itemId=23148082736&vendorItemId=90180934718,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ec5f/20adac4471dea7bc8729e7a485c5c1eebfc082924f5829e2ade0a30535f4.PNG
* 잔멸치,2024-08-01 20:05:52,"신건호멸치 볶음용 세세멸치 / 어린이멸치 잔멸치, 1개, 1.5kg",27900,10,g,186,,https://www.coupang.com/vp/products/58889694?itemId=203972992&vendorItemId=3483397252,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4895/4cc343f967949239ff87251c34252199e8aa946f2ccbcdcddf39f5f5076c.jpg
* 전분푼물,2024-08-01 20:05:53,"에콘스 PLA 일회용 스푼, 50개입, 1개",4900,1,개입,98,로켓배송,https://www.coupang.com/vp/products/5766591566?itemId=9784036060&vendorItemId=77067982615,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/07/01/10/1/940258de-cb5c-4e78-bba4-91184e5743f6.jpg
* 조청,2024-08-01 20:05:54,"조청쌀엿 9kg 쌀 조청, 1개",18980,100,g,211,,https://www.coupang.com/vp/products/185474179?itemId=20142461560&vendorItemId=4381601094,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2019/02/13/16/7/a0b1ec8f-70ca-4b99-8c35-7136881fdcd1.jpg
* 조청쌀엿,2024-08-01 20:05:55,"조청쌀엿 9kg 쌀 조청, 1개",18980,100,g,211,,https://www.coupang.com/vp/products/185474179?itemId=20142461560&vendorItemId=4381601094,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2019/02/13/16/7/a0b1ec8f-70ca-4b99-8c35-7136881fdcd1.jpg
* 진/양조간장,2024-08-01 20:05:56,"샘표 양조간장 501, 5L, 1개",21390,100,ml,428,로켓배송,https://www.coupang.com/vp/products/6091708833?itemId=22955501347&vendorItemId=3008200207,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/817731264289348-ed84b024-bbe8-478e-b015-f9852d506496.png
* 진간장,2024-08-01 20:05:57,"샘표 진간장 금F-3 1.7L+( 500ml 3개) 3.2L 1세트, 4개",112100,,,999999999,,https://www.coupang.com/vp/products/7235302196?itemId=19923013756&vendorItemId=87108405807,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4837/04352f6a6a39309f84d15c81100e5de92670095d056ebf271b8d19f89a8f.jpg
* 참기름,2024-08-01 20:05:58,"해표 딱 한번 짠 고소한 참기름, 3L, 30개",1588490,10,ml,176,,https://www.coupang.com/vp/products/5809540282?itemId=23186107338&vendorItemId=90218779131,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/382b/53481befe239b979c4e1724dff57c95295b282245dd13ad1d79e65cbda03.png
* 청양고추,2024-08-01 20:05:59,"클릭마켓 국내산 반홍 청양고추 10kg 청량고추, 1개",38000,100,g,380,,https://www.coupang.com/vp/products/7830241186?itemId=23519745388&vendorItemId=88354374114,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ac2d/6513f2992869f328676608e8bd8bf9590ec694d153547be1f49bdb7d5ffa.jpg
* 통깨,2024-08-01 20:06:01,"오리지널그레인 볶은 통참깨, 2kg, 1개",17980,100,g,899,로켓배송,https://www.coupang.com/vp/products/7574514650?itemId=17716327048&vendorItemId=84881175299,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/766316930514427-fac38c83-125d-4d65-b995-c48d45e9ee71.jpg
* 통마늘,2024-08-01 20:06:02,"국내산 깐마늘, 2kg, 1봉",15900,100,g,795,로켓배송,https://www.coupang.com/vp/products/7703778496?itemId=20632961263&vendorItemId=87706928375,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1659176625751720-18ddf67d-d23a-4b43-bce2-752d7461e2dc.jpg
* 판두부,2024-08-01 20:06:03,"곰곰 콩두부, 500g, 4개",6000,100,g,300,로켓배송,https://www.coupang.com/vp/products/1275124810?itemId=19223694299&vendorItemId=86340379393,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1257501757453332-cf07fdcd-8c0e-4225-bc63-4f6a40e87b88.jpg
* 홍고추,2024-08-01 20:06:04,"국내산 홍고추 10kg, 1개",39800,100,g,398,,https://www.coupang.com/vp/products/6659550520?itemId=15282794683&vendorItemId=82503281334,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/fb76/8f582aad8976ad77dbc484d7f1c858686f8cdd599ef24305265d3e7dbfd0.jpg
* 후추,2024-08-01 20:06:05,"오뚜기 순후추, 225g, 5개",115810,10,g,1029,,https://www.coupang.com/vp/products/6514381325?itemId=23160419959&vendorItemId=90193212426,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3210/9c0b552a5d43b9bada61878b96b941f00f746dcff116a26decfb2b290055.png
- 간장,2024-08-01 20:06:06,"청정원 햇살담은 진간장 골드, 13L, 1개",19190,100,ml,148,로켓배송,https://www.coupang.com/vp/products/7123565492?itemId=3524898902&vendorItemId=71510971621,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/07/13/5/2c9b7614-a770-449c-b213-e2ac5152fd02.jpg
- 고추가루,2024-08-01 20:06:07,"곰곰 고춧가루, 1kg, 1개",11790,100,g,1179,로켓배송,https://www.coupang.com/vp/products/8121208984?itemId=23036516271&vendorItemId=90070253383,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/223932723833073-f0b4a2f0-9990-46d4-be97-df539c527a99.jpg
