ingredient_name,rank,time_stamp,product_title,origial_price,price,unit,measure,unit_price,gram_price,discount_rate,badage_rocket,review_count,url,image
고운고춧가루,7,2024-07-29 16:16:24,"[임가100% 국산 고춧가루 1kg 보통맛 (고운가루) 실속형 국내산 햇고추, 1개",36000,26800,100,g,2680,26.8,25%,로켓배송,81,https://www.coupang.com/vp/products/7790224665?itemId=21074504558&vendorItemId=88245132949,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/148e/a71cd70027aab929ae1d6b4ac78cc4263610697f9fb02494123213271993.jpg
고운고춧가루,8,2024-07-29 16:16:24,"해썹인증 국내 안심제조 중국산 고춧가루, 2.5kg, 1개",36250,22800,,,,,37%,,143,https://www.coupang.com/vp/products/7297431574?itemId=21244339553&vendorItemId=88305007894,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/672f/d66055dae40f301ee4779ef8ffd6dad03ef1c9aa965f13f6185ece9b4bc8.jpg
고운고춧가루,9,2024-07-29 16:16:24,"화미 고춧가루 미분용, 2.5kg, 1개",,24500,100,g,980,9.8,,로켓배송,397,https://www.coupang.com/vp/products/1295382700?itemId=2307634996&vendorItemId=70304472937,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/602898626509561-ba93000f-f3fb-4370-bf63-acf22f286222.jpg
고운고춧가루,10,2024-07-29 16:16:24,"국내산 100% 프리미엄 고춧가루 정직한 대가야 맷돌 방식 고춧가루 500g 김치용 굵은입자, 1개",19900,16910,100,g,3382,33.82,15%,로켓배송,39,https://www.coupang.com/vp/products/7792299742?itemId=23542038877&vendorItemId=90783114071,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/dfe2/f050c5dc9e0dc34e17ed7b0d8e014913e534f9b3d99234e297874a89fbc8.jpg
고추가루,1,2024-07-29 16:16:25,"곰곰 국내산 고춧가루, 250g, 1개",14000,9990,100,g,3996,39.96,28%,로켓배송,24960,https://www.coupang.com/vp/products/188717799?itemId=2089138674&vendorItemId=70088115437,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/168092426158016-7233134d-0292-4d96-861a-00bedee2690c.jpg
고추가루,2,2024-07-29 16:16:25,"곰곰 국내산 고춧가루, 1kg, 1개",39000,29350,100,g,2935,29.35,24%,로켓배송,24960,https://www.coupang.com/vp/products/188717799?itemId=538933211&vendorItemId=4408475808,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/03/14/4408475808/fed11ff9-ec70-483c-a557-b7bd70353a3e.jpg
고추가루,3,2024-07-29 16:16:25,"23년 국산 최상급 햇 고춧가루 1kg . 보통맛/최근제조/김치양념용, 1개",39000,23900,100,g,2390,23.9,38%,,1192,https://www.coupang.com/vp/products/7148772597?itemId=17968281071&vendorItemId=89899491867,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a5fa/d98ba1f181474d3e9a2499101be610eb5a94b94894e85f5bad3daf5f1998.png
고추가루,4,2024-07-29 16:16:25,"곰곰 국내산 고춧가루, 600g, 1개",25900,19140,100,g,3190,31.9,26%,로켓배송,24960,https://www.coupang.com/vp/products/188717799?itemId=538933207&vendorItemId=4408475788,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/03/14/4408475788/f45f1e99-e97d-414f-85d7-18de5eb96046.jpg
고추가루,5,2024-07-29 16:16:25,"곰곰 고춧가루, 1kg, 1개",14900,11790,100,g,1179,11.79,20%,로켓배송,18,https://www.coupang.com/vp/products/8121208984?itemId=23036516271&vendorItemId=90070253383,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/223932723833073-f0b4a2f0-9990-46d4-be97-df539c527a99.jpg
고추가루,6,2024-07-29 16:16:25,"고추연구소 고운 고춧가루, 1kg, 1개",14100,13550,100,g,1355,13.55,3%,로켓배송,1211,https://www.coupang.com/vp/products/7186018382?itemId=18133090219&vendorItemId=75251184855,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4456641877392473-1d580f02-378e-4f3b-9fae-8a1362e4661f.jpg
고추가루,7,2024-07-29 16:16:25,"한식온도 맛있게 매운 국산 안동 의성 고춧가루, 500g, 1개, 한식용",24000,16900,100,g,3380,33.8,29%,,3,https://www.coupang.com/vp/products/8257989333?itemId=23784606763&vendorItemId=90419592786,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/513f/80660ee9407ef6e47c2573828650a3549afe0652aa55ebd3106dc4dfbd90.jpg
고추가루,8,2024-07-29 16:16:25,"고추본색 24년 국산 태양초 햇 고춧가루, 최상품 양념용 미분 보통맛, 1개, 2kg",86700,64480,100,g,3224,32.24,25%,,6,https://www.coupang.com/vp/products/8245777306?itemId=23549127411&vendorItemId=90575197110,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/990b/7fa426732b6472501516e2d52b2ab17848604a053bfd3ab39344cd83906e.png
고추가루,9,2024-07-29 16:16:25,"고추본색 24년 국산 태양초 햇 고춧가루, 최상품 김치용 보통맛, 1개, 3kg",126740,89990,100,g,3000,30.0,28%,,6,https://www.coupang.com/vp/products/8245777306?itemId=23549127500&vendorItemId=90575197440,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/990b/7fa426732b6472501516e2d52b2ab17848604a053bfd3ab39344cd83906e.png
고추가루,10,2024-07-29 16:16:25,"국내산 100% 프리미엄 고춧가루 정직한 대가야 맷돌 방식 고춧가루 500g 김치용 굵은입자, 1개",19900,16910,100,g,3382,33.82,15%,로켓배송,39,https://www.coupang.com/vp/products/7792299742?itemId=23542038877&vendorItemId=90783114071,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/dfe2/f050c5dc9e0dc34e17ed7b0d8e014913e534f9b3d99234e297874a89fbc8.jpg
고추기름,1,2024-07-29 16:16:26,"오쉐프 고추맛기름, 1개, 1.5L",9350,8700,100,ml,580,5.8,6%,로켓배송,2592,https://www.coupang.com/vp/products/7739315367?itemId=24465775&vendorItemId=3036047187,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2016/07/14/15/8/68229eae-d0a0-4978-a447-b6af77dd7a60.jpg
고추기름,2,2024-07-29 16:16:26,"오뚜기 옛날 고추맛 기름, 80ml, 3개",7440,6430,100,ml,2679,26.79,13%,로켓배송,7356,https://www.coupang.com/vp/products/1008969?itemId=20855690250&vendorItemId=85540103377,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/ab987f5a-de4b-4ed2-9d23-ebc303dec63d3293770608116011599.png
고추기름,3,2024-07-29 16:16:26,"오뚜기옛날 고추맛기름, 1.5L, 1개",,12000,100,ml,800,8.0,,로켓배송,7356,https://www.coupang.com/vp/products/1008969?itemId=4242021&vendorItemId=3005113488,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2016/08/03/3005113488/287f9f59-49c9-4d68-8fa0-5f221198d145.jpg
고추기름,4,2024-07-29 16:16:26,"시아스 불맛고추기름, 500ml, 1개",,9100,100,ml,1820,18.2,,로켓배송,2272,https://www.coupang.com/vp/products/7493544592?itemId=19599374940&vendorItemId=4549093335,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5318136620555769-c5c71ebe-d7cb-4d96-a4c3-052b4b05331f.png
고추기름,5,2024-07-29 16:16:26,"오쉐프 고추맛기름, 5개, 1.5L",40750,40000,100,ml,533,5.33,1%,로켓배송,2592,https://www.coupang.com/vp/products/7739315367?itemId=19443151106&vendorItemId=86554128559,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/f30051a1-c360-41a8-905f-ae6994c2ab411942364591425940692.png
